"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"3205",554430,"Wheeler, Zack","3205","100.0","0.215","0.106","0.291","0.321","0.257","0.257","0.213","169","785","83.8","7.7","2351","93.8","94.87","441","1663","1542","1.1","7.15","111","152","113","149","294","322","293"
"3196",641816,"Mahle, Tyler","3196","100.0","0.234","0.162","0.303","0.396","0.308","0.296","0.226","158","674","86.5","12.0","2314","90.5","90.89","410","1445","1751","0.4","6.59","113","154","117","148","294","318","291"
"3164",622491,"Castillo, Luis","3164","100.0","0.255","0.148","0.323","0.402","0.318","0.291","0.230","181","711","86.4","3.5","2194","92.6","91.09","447","1559","1605","-1.5","5.55","114","152","117","147","291","319","291"
"3152",621111,"Buehler, Walker","3152","100.0","0.199","0.130","0.250","0.329","0.255","0.270","0.215","149","747","87.0","10.2","2537","91.1","91.26","407","1550","1602","0.2","6.38","113","157","117","151","298","318","295"
"3141",592662,"Ray, Robbie","3141","100.0","0.210","0.190","0.269","0.401","0.287","0.289","0.215","150","714","90.3","17.4","2217","91.9","91.92","527","1632","1509","0.0","6.42","106","154","120","147","298","319","289"
"3095",645261,"Alcantara, Sandy","3095","100.0","0.223","0.142","0.273","0.365","0.279","0.287","0.231","171","768","87.1","3.9","2241","94.3","93.50","450","1650","1445","-0.8","5.95","110","150","115","149","300","315","286"
"3068",425794,"Wainwright, Adam","3068","100.0","0.220","0.132","0.257","0.352","0.273","0.300","0.248","168","765","87.7","9.5","2442","82.4","82.24","265","1345","1723","-0.2","6.48","116","157","116","149","299","320","299"
"3043",621244,"Berríos, José","3043","100.0","0.223","0.157","0.278","0.380","0.286","0.309","0.239","159","714","88.0","12.0","2141","89.4","88.98","338","1429","1614","-0.4","6.40","109","156","121","149","298","326","297"
"3028",593423,"Montas, Frankie","3028","100.0","0.232","0.140","0.298","0.372","0.290","0.304","0.234","164","707","88.8","11.2","2205","92.9","92.23","452","1529","1499","-0.7","5.97","111","150","119","152","299","326","301"
"3002",592332,"Gausman, Kevin","3002","100.0","0.210","0.136","0.275","0.345","0.265","0.287","0.227","150","715","88.1","11.5","1975","89.3","88.91","492","1572","1430","-0.4","6.48","112","156","115","150","298","323","295"
"2987",450203,"Morton, Charlie","2987","100.0","0.203","0.106","0.271","0.309","0.264","0.280","0.214","136","669","87.1","6.8","2566","88.8","88.58","397","1375","1612","-0.2","6.28","109","152","128","144","301","322","295"
"2980",640455,"Manaea, Sean","2980","100.0","0.255","0.160","0.318","0.415","0.310","0.309","0.246","179","702","89.7","12.8","1848","88.8","89.89","415","1534","1446","1.1","7.18","109","151","120","150","301","326","299"
"2971",605400,"Nola, Aaron","2971","100.0","0.237","0.168","0.310","0.405","0.297","0.283","0.221","165","696","88.4","13.7","2142","87.3","87.93","407","1461","1510","0.6","6.82","110","151","114","148","297","324","293"
"2970",608337,"Giolito, Lucas","2970","100.0","0.219","0.175","0.270","0.394","0.288","0.278","0.218","145","662","87.1","18.0","2007","87.8","88.45","483","1500","1470","0.6","6.72","111","152","114","150","301","319","296"
